X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-68.88,10.44,train,2.5104466512235185E-4,49.8481925164648,0.4616775962305604
-63.5,10.17,train,4.8813175308910707E-4,69.01124899038255,0.6251260897488619
-69.17,9.78,train,1.5568989301557317E-4,34.14982140379373,0.3472032347953272
-72.24,9.07,train,0.0017113591553299327,91.07337811776075,0.853937257441234
-71.65,8.62,train,0.009232615883625929,97.48387794580174,0.9692691704965524
-76.69,7.68,train,4.489958921639196E-5,7.126019663077883,0.13298809828536004
-79.84,0.85,train,0.005058755153098491,95.11307059996477,0.9453007949764197
-80.09,-0.7,train,0.0014982136469118394,89.63443980818286,0.8365538154808823
-79.05,-1.18,train,4.1334912793602574E-4,64.96011440865924,0.5854217695032041
-35.46,-5.2,train,0.007598135428063568,96.56061386273969,0.9629037097437997
-49.71,-8.87,train,1.1825366489714203E-4,24.741960215720898,0.28773918554656197
-41.86,-11.3,train,2.078454747206293E-4,43.8416521169476,0.41522009448366004
-41.16,-11.55,train,9.109581489346497E-5,17.267715971052265,0.23734158591057408
-51.0,-14.37,train,9.198552911224778E-5,17.514368227011115,0.23910539043969986
-56.62,-16.26,train,1.6859504713090054E-4,36.736452606219984,0.36546497405768114
-49.43,-16.5,train,5.304170938894006E-5,9.067401508670715,0.15340471434166453
-53.13,-18.54,train,2.037799525298271E-4,43.12040548007912,0.4104317185863786
-56.09,-19.59,train,1.192317695165891E-4,25.047553894574254,0.289430313184322
-46.99,-20.92,train,3.315928447330964E-4,57.42439611678091,0.5311312114879401
-46.02,-22.46,train,1.7165689121753503E-4,37.322372538592596,0.3696487329733597
-43.71,-22.74,train,5.936855336613042E-4,73.38560788940359,0.6697662562667582
-46.76,-22.7,train,1.5882720837770873E-4,34.843913659597845,0.35173880137421454
-47.43,-22.0,train,4.7598099824996856E-4,68.30551942772192,0.6192005192288492
-48.45,-22.89,train,0.025161197294217428,99.99999957258758,0.9884999429029192
-47.0,-22.97,train,5.979080288877009E-4,73.77405385265425,0.6713319020604698
-55.23,-28.51,train,3.174165444956808E-4,56.38526764666996,0.5202372432078053
-53.38,-31.58,train,8.37086010532E-4,80.88037537013557,0.7409102773077901
-52.42,-31.78,train,4.7995822931794164E-4,68.67450123031243,0.6211606165751391
-56.57,-23.87,train,2.790592540431498E-4,53.19271488077236,0.48805288120142387
-56.78,-25.77,train,2.3039119855200173E-4,47.26650287162517,0.440423622885432
-56.75,-30.43,train,1.5656554493117183E-4,34.35199988035194,0.3484755232339261
-57.95,-31.55,train,9.162244092466262E-4,83.0332123073272,0.7578704616189826
-56.15,-31.83,train,6.433127335064881E-4,75.36777945937473,0.6872747779257169
-53.78,-32.35,train,5.911931871218055E-4,73.2676534486339,0.6688351065505437
-54.65,-32.48,train,9.125600693389686E-4,82.82518608486517,0.7571343307941384
-58.05,-32.98,train,5.006365528594113E-4,69.67511279451472,0.6310348002654784
-53.45,-33.68,train,0.0038448816178508127,94.18305370830693,0.929253359983309
-55.55,-33.87,train,8.451944737287469E-4,81.12670861333605,0.7427564764061669
-57.72,-34.33,train,0.0013901118787158885,89.00843717629512,0.8260543676044717
-56.04,-34.73,train,6.714930459931487E-4,76.50943464947983,0.6964145428639666
-58.93,-27.32,train,4.86497215213923E-4,68.95716652773746,0.6243397308264368
-58.83,-28.5,train,5.294816827876004E-4,70.95464381360073,0.6439791053874522
-64.52,-30.85,train,1.0361719995831959E-4,20.528455504513698,0.26143597589065914
-62.98,-30.87,train,1.9592917505957509E-4,41.63810554988862,0.40095957533457904
-61.48,-31.27,train,1.2735454513602195E-4,27.27773513433503,0.3031702012928359
-58.1,-34.84,train,0.001878855442668385,91.79833211625616,0.8652032487097783
-57.88,-35.87,train,7.087772805509263E-4,77.31104674086839,0.7077165547977826
-64.02,-36.52,train,4.395170317870468E-5,6.926750508148788,0.13054707114008882
